Type,year,mean
Company_Operated_Stores,2012,11793.2
Company_Operated_Stores,2013,12977.9
Company_Operated_Stores,2014,15197.3
Company_Operated_Stores,2015,16844.1
Company_Operated_Stores,2016,17650.7
Company_Operated_Stores,2017,19690.3
License_Stores,2012,1360.5
License_Stores,2013,1588.6
License_Stores,2014,1861.9
License_Stores,2015,2154.2
License_Stores,2016,2355
License_Stores,2017,2652.2
Other,2012,1738.5
Other,2013,1881.3
Other,2014,2103.5
Other,2015,2317.6
Other,2016,2381.1
Other,2017,2377
Total,2012,14892.2
Total,2013,16447.8
Total,2014,19162.7
Total,2015,21315.9
Total,2016,22386.8
Total,2017,24719.5
