Type,year,mean
Americas_Licensed,2012,5011
Americas_Licensed,2013,5415
Americas_Licensed,2014,5796
Americas_Licensed,2015,6132
Americas_Licensed,2016,6588
Americas_Licensed,2017,7146
CP_Licensed,2012,2628
CP_Licensed,2013,3000
CP_Licensed,2014,3492
CP_Licensed,2015,3010
CP_Licensed,2016,3632
CP_Licensed,2017,4409
EMEA_Licensed,2012,987
EMEA_Licensed,2013,1143
EMEA_Licensed,2014,1323
EMEA_Licensed,2015,1625
EMEA_Licensed,2016,2119
EMEA_Licensed,2017,2472
Total_LS,2012,76
Total_LS,2013,66
Total_LS,2014,42
Total_LS,2015,41
Total_LS,2016,35
Total_LS,2017,37
